cenario,tipo,correlacao_com_modelo_atual,correlacao_com_fuzzy_completo,correlacao_ranking_com_modelo_atual,correlacao_ranking_com_fuzzy_completo
sem_score_homicidios_100k,leave_one_out_variavel,0.9832815182374396,0.9598892986550324,0.9842487863375011,0.9611819019840928
sem_score_estab_saude_10k,leave_one_out_variavel,0.9774398750793242,0.9392396935182522,0.9755816171268231,0.9526000283857052
sem_score_empresas_1k,leave_one_out_variavel,0.9881530407948065,0.9342383153658245,0.9865116529061897,0.9443801521962524
sem_score_via_pav_pct,leave_one_out_variavel,0.9857658424471397,0.9222967982672895,0.9836238362162167,0.9317499600885656
sem_score_indice_conectividade,leave_one_out_variavel,0.9862005200317201,0.9101266942967255,0.9829687078152418,0.9196719794691497
sem_score_regic_var60,leave_one_out_variavel,0.9854623818384209,0.8774208002116012,0.9846049214453038,0.8882855327543726
peso_seguranca_territorial_-0.10,perturbacao_pesos_eixos,0.994501247421759,0.947370180112246,0.9939396097422022,0.9493804301381571
peso_seguranca_territorial_-0.05,perturbacao_pesos_eixos,0.9987404420912994,0.9408073117178848,0.9984261501210655,0.9468807862127904
peso_oferta_servicos_-0.10,perturbacao_pesos_eixos,0.9962308910335619,0.940318248442598,0.9951698390021453,0.9502010935086517
peso_dinamismo_economico_+0.10,perturbacao_pesos_eixos,0.9989004533375369,0.9402387840522012,0.9977122164098857,0.9477797816917558
peso_conectividade_digital_+0.10,perturbacao_pesos_eixos,0.9983203998617646,0.9379755526253732,0.9975430850306225,0.94507904856858
peso_oferta_servicos_-0.05,perturbacao_pesos_eixos,0.9991546148406996,0.9369825997848985,0.9987323743056545,0.944616151545364
peso_dinamismo_economico_+0.05,perturbacao_pesos_eixos,0.9996986325368394,0.9367174994458813,0.9991881498362056,0.9424369747899161
peso_conectividade_digital_+0.05,perturbacao_pesos_eixos,0.9995331829398226,0.9356882188950029,0.9991382993875517,0.9433627688363482
peso_infraestrutura_urbana_+0.05,perturbacao_pesos_eixos,0.9991015308743401,0.9323844570141326,0.9987964677396384,0.9391468451787497
peso_infraestrutura_urbana_+0.10,perturbacao_pesos_eixos,0.9967227870135021,0.9309957776570672,0.9956630109670989,0.9385628827802308
peso_infraestrutura_urbana_-0.05,perturbacao_pesos_eixos,0.9989137642359059,0.9302939885107943,0.998397664150406,0.9377296681384419
peso_conectividade_digital_-0.05,perturbacao_pesos_eixos,0.9994149045000915,0.9274948806635817,0.9988249537102979,0.9333998005982056
peso_dinamismo_economico_-0.05,perturbacao_pesos_eixos,0.9996338070828263,0.9268000455628627,0.9993430411336186,0.9336151075629161
peso_oferta_servicos_+0.05,perturbacao_pesos_eixos,0.9993134268641763,0.9267481167319404,0.9989762836084123,0.9323367973537022
peso_infraestrutura_urbana_-0.10,perturbacao_pesos_eixos,0.995213938061614,0.9257440889700878,0.9941390115368183,0.9342330152399945
peso_seguranca_territorial_+0.05,perturbacao_pesos_eixos,0.9989427986266319,0.9224627891727426,0.9980059820538387,0.9310781939894602
peso_conectividade_digital_-0.10,perturbacao_pesos_eixos,0.9973604853916447,0.9207854866927907,0.9955989175331151,0.9275032046716994
peso_oferta_servicos_+0.10,perturbacao_pesos_eixos,0.9975131995877514,0.9206289626794751,0.9963466742629257,0.9246332431277596
peso_dinamismo_economico_-0.10,perturbacao_pesos_eixos,0.9983759959204954,0.9199151178753082,0.9977140008545792,0.9269762142144995
peso_seguranca_territorial_+0.10,perturbacao_pesos_eixos,0.9961216547775479,0.9117334949856449,0.995242842899872,0.922902720410198
