variavel_externa,correlacao_modelo_reduzido
densidade_scm,0.8530252364632294
cobertura_pop_4g5g,0.7481674036764852
pib_pc,0.7231633884051071
ambulatorios_sus_2026_02,0.5482761998222081
adensamento_estacoes,0.5108714265457927
regic_var59,0.5084814123796646
regic_var56,0.4797840612158922
regic_var61,0.47631015314257574
regic_var66,0.37931770725112335
fibra,0.36379233846184345
