modelo,correlacao_score_completo,correlacao_ranking_completo,acordo_exato_classes,acordo_adjacente_classes,erro_medio_absoluto_classe,confianca_media
otimizado_variaveis,0.971193479566239,0.9724967953283008,0.3025210084033613,0.7226890756302521,0.9747899159663865,0.8620548250639022
otimizado_eixos,0.9650289807938104,0.9681882922660591,0.31092436974789917,0.7394957983193278,0.9495798319327731,0.8686626337851189
variaveis_iguais,0.9368536235928281,0.9440475152645382,0.2857142857142857,0.7647058823529411,0.9495798319327731,0.8445364643630047
atual,0.9323097848046694,0.9390044153254523,0.31092436974789917,0.7647058823529411,0.9243697478991597,0.859948233592593
pca1,0.9290642273867341,0.9380999857570148,0.31932773109243695,0.7226890756302521,0.957983193277311,0.85130323315767
eixos_iguais,0.9096570366393206,0.9189590495653533,0.29411764705882354,0.7226890756302521,0.9831932773109243,0.8616886911188528
