classificacao_fuzzy,qtd_municipios,score_final_medio,confianca_media,distancia_euclidiana_media
muito_alto,32,0.7858436186974791,0.9450598969036854,0.07769703891698423
alto,19,0.6277819548872182,0.7751256129633878,0.3180204079775135
medio,19,0.4806026094648386,0.7086498046143569,0.4120313977144276
baixo,19,0.38313909774436095,0.7892502385969007,0.29804517084315685
muito_baixo,30,0.21713515406162467,0.9634811876427456,0.05164539971738742
