CD_MUN,NM_MUN,CD_UF,NM_UF,setores_urbanos,populacao_urbana,domicilios_urbanos,area_urbana_km2,area_media_setor_urbano_km2,area_mediana_setor_urbano_km2,area_dp_setor_urbano_km2,densidade_demografica_urbana,densidade_domiciliar_urbana,pct_setores_urbanos_no_total_lido
1100015.0,Alta Floresta D'Oeste,11,Rondônia,26,12971,5937,10.728975,0.41265288461538463,0.30193139999999996,0.27505291254449454,1208.9691699346863,553.3613416006655,0.007324665812122322
1100023.0,Ariquemes,11,Rondônia,126,83952,36731,41.0897435,0.3261090753968254,0.2048216,0.43516706120638243,2043.1376019662914,893.9213748073166,0.03549645739720818
1100031.0,Cabixi,11,Rondônia,5,2846,1419,1.8538442,0.37076884,0.3618934,0.04776596450091846,1535.1883399910305,765.4364913728997,0.0014085895792542928
1100049.0,Cacoal,11,Rondônia,117,71907,33110,48.2350014,0.4122649692307692,0.2402992,0.7263140731204328,1490.7639248041983,686.4309948998986,0.03296099615455045
1100056.0,Cerejeiras,11,Rondônia,24,14116,6224,14.7625651,0.6151068791666666,0.3247318,0.9811458738747296,956.2023878898932,421.6069468848608,0.006761229980420605
1100064.0,Colorado do Oeste,11,Rondônia,33,11709,5899,10.2287406,0.3099618363636364,0.2284987,0.2936360435101386,1144.7157042969689,576.7083388545409,0.009296691223078331
1100072.0,Corumbiara,11,Rondônia,4,2780,1217,2.1178031,0.529450775,0.4821613,0.20093895313124957,1312.6810514159695,574.6521005659118,0.0011268716634034342
1100080.0,Costa Marques,11,Rondônia,13,6670,2634,6.9582823000000005,0.5352524846153847,0.4395359,0.35297435541648264,958.5699045294555,378.54169843037266,0.003662332906061161
1100098.0,Espigão D'Oeste,11,Rondônia,36,21452,9229,13.9650774,0.38791881666666667,0.25897775,0.37105122413164576,1536.1175155391547,660.8627890598015,0.010141844970630908
1100106.0,Guajará-Mirim,11,Rondônia,49,31737,13288,34.917395,0.7125998979591837,0.3157193,1.8291630535672103,908.9166015964249,380.55530774847324,0.013804177876692069
1100114.0,Jaru,11,Rondônia,58,39807,18409,23.347794399999998,0.4025481793103448,0.24363845,0.44855035026456597,1704.957621178984,788.4684816309673,0.016339639119349793
1100122.0,Ji-Paraná,11,Rondônia,178,112983,50929,72.2300089,0.4057865668539326,0.2244988,0.9474631226047899,1564.211353710632,705.0947490607329,0.05014578902145282
1100130.0,Machadinho D'Oeste,11,Rondônia,30,16634,7955,13.10387,0.4367956666666667,0.31543560000000004,0.3125582625346505,1269.395987597557,607.0725671118532,0.008451537475525756
1100148.0,Nova Brasilândia D'Oeste,11,Rondônia,13,7309,3679,6.1425558,0.4725042923076923,0.4735067,0.16791859635625264,1189.8955805985515,598.9363580547367,0.003662332906061161
1100155.0,Ouro Preto do Oeste,11,Rondônia,55,27701,12615,20.7304755,0.3769177363636364,0.1742444,0.6008191624624382,1336.2452781172337,608.5243920237141,0.01549448537179722
1100189.0,Pimenta Bueno,11,Rondônia,45,28710,12744,20.3691837,0.45264852666666666,0.2663951,0.679986585511016,1409.4821089958552,625.6509925824862,0.012677306213288634
1100205.0,Porto Velho,11,Rondônia,641,426299,186002,207.9692164,0.3244449553822153,0.1404547,0.6798614516752964,2049.817792168207,894.3727500624462,0.18058118406040033
1100254.0,Presidente Médici,11,Rondônia,26,12381,5902,8.1511758,0.3135067615384616,0.255451,0.19095870921153626,1518.9219695151219,724.0673179935586,0.007324665812122322
1100262.0,Rio Crespo,11,Rondônia,3,1438,640,1.1117103,0.37057009999999996,0.3786869,0.10907683577043294,1293.5024529322072,575.6895478975053,0.0008451537475525756
1100288.0,Rolim de Moura,11,Rondônia,70,47264,21119,23.9718195,0.34245456428571425,0.27726215,0.21849968999866115,1971.6484182604497,880.9927840479527,0.019720254109560097
1100296.0,Santa Luzia D'Oeste,11,Rondônia,7,3256,1649,2.4297225,0.3471032142857143,0.2839998,0.26527667382428877,1340.0707282415997,678.6783264343974,0.0019720254109560098
1100304.0,Vilhena,11,Rondônia,138,90305,38961,59.3782055,0.43027685144927535,0.23556675,0.6465523736127146,1520.844209412829,656.1498393547781,0.03887707238741848
1100320.0,São Miguel do Guaporé,11,Rondônia,20,11961,5443,11.723105799999999,0.58615529,0.33762400000000004,0.8355350452484506,1020.292762349718,464.296756581349,0.005634358317017171
1100338.0,Nova Mamoré,11,Rondônia,23,14719,6914,16.9796151,0.7382441347826088,0.6853965,0.3967316861912762,866.8629950274903,407.19415365310607,0.006479512064569746
1100346.0,Alvorada D'Oeste,11,Rondônia,17,7750,3583,7.3191514,0.4305383176470588,0.3804094,0.2295537726593739,1058.865922625948,489.53762590564804,0.004789204569464595
1100379.0,Alto Alegre dos Parecis,11,Rondônia,11,4986,2220,3.3233636,0.3021239636363636,0.2423476,0.17181908588968967,1500.2872391091964,667.9979283639021,0.0030988970743594437
1100403.0,Alto Paraíso,11,Rondônia,16,8158,3495,5.4761185,0.34225740625,0.256856,0.30234865814091183,1489.741319513082,638.2257798110103,0.004507486653613737
1100452.0,Buritis,11,Rondônia,35,19414,8806,10.4810506,0.29945858857142854,0.218086,0.21772665683538073,1852.2952269689454,840.182948835301,0.009860127054780048
1100502.0,Novo Horizonte do Oeste,11,Rondônia,6,3309,1610,2.7670737,0.46117895000000003,0.46798185000000003,0.1763709890040508,1195.848162627544,581.8421099517516,0.0016903074951051512
1100601.0,Cacaulândia,11,Rondônia,2,1932,899,1.6162185,0.80810925,0.80810925,0.4198287414269359,1195.3829262565673,556.2366722073779,0.0005634358317017171
