geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
5107602,Rondonópolis,MT,capital de intermediaria,A
3552809,Taboão da Serra,SP,conurbado com uf,A
4313409,Novo Hamburgo,RS,capital de imediata,A
3529005,Marília,SP,capital de intermediaria,A
5003702,Dourados,MS,capital de intermediaria,A
3501608,Americana,SP,demais municipios,A
4208203,Itajaí,SC,capital de imediata,A
3302700,Maricá,RJ,demais municipios,A
3541406,Presidente Prudente,SP,capital de intermediaria,A
2700300,Arapiraca,AL,capital de intermediaria,A
4211900,Palhoça,SC,conurbado com uf,A
4323002,Viamão,RS,conurbado com uf,A
3520509,Indaiatuba,SP,demais municipios,A
4204202,Chapecó,SC,capital de intermediaria,A
2111201,São José de Ribamar,MA,conurbado com uf,A
3515004,Embu das Artes,SP,conurbado com uf,A
4315602,Rio Grande,RS,demais municipios,A
2602902,Cabo de Santo Agostinho,PE,conurbado com uf,A
3131307,Ipatinga,MG,capital de intermediaria,A
3303401,Nova Friburgo,RJ,capital de imediata,A
3167202,Sete Lagoas,MG,capital de imediata,A
3524402,Jacareí,SP,demais municipios,A
2913606,Ilhéus,BA,capital de intermediaria,A
2307650,Maracanaú,CE,conurbado com uf,A
4318705,São Leopoldo,RS,demais municipios,A
2914802,Itabuna,BA,demais municipios,A
3519071,Hortolândia,SP,demais municipios,A
5218805,Rio Verde,GO,capital de intermediaria,A
2919207,Lauro de Freitas,BA,conurbado com uf,A
3502804,Araçatuba,SP,capital de intermediaria,A
4314100,Passo Fundo,RS,capital de intermediaria,A
3300100,Angra dos Reis,RJ,capital de imediata,A
5212501,Luziânia,GO,capital de intermediaria,A
3157807,Santa Luzia,MG,conurbado com uf,A
4105805,Colombo,PR,conurbado com uf,A
2925303,Porto Seguro,BA,demais municipios,A
3522109,Itanhaém,SP,demais municipios,A
3522505,Itapevi,SP,conurbado com uf,A
4204608,Criciúma,SC,capital de intermediaria,A
3543907,Rio Claro,SP,capital de imediata,A
3304524,Rio das Ostras,RJ,demais municipios,A
5200258,Águas Lindas de Goiás,GO,capital de imediata,A
3305802,Teresópolis,RJ,demais municipios,A
3201209,Cachoeiro de Itapemirim,ES,capital de intermediaria,A
2312908,Sobral,CE,capital de intermediaria,A
3202405,Guarapari,ES,demais municipios,A
3300209,Araruama,RJ,demais municipios,A
1502400,Castanhal,PA,capital de intermediaria,A
5221858,Valparaíso de Goiás,GO,conurbado com uf,A
4202008,Balneário Camboriú,SC,demais municipios,A
3510500,Caraguatatuba,SP,capital de imediata,A
5107909,Sinop,MT,capital de intermediaria,A
3148004,Patos de Minas,MG,capital de intermediaria,A
2804805,Nossa Senhora do Socorro,SE,conurbado com uf,A
3203205,Linhares,ES,capital de imediata,A
3151800,Poços de Caldas,MG,capital de imediata,A
3507605,Bragança Paulista,SP,capital de imediata,A
4109401,Guarapuava,PR,capital de intermediaria,A
4300604,Alvorada,RS,conurbado com uf,A
2918001,Jequié,BA,capital de imediata,A
3300407,Barra Mansa,RJ,demais municipios,A
3555406,Ubatuba,SP,demais municipios,A
3504107,Atibaia,SP,demais municipios,A
1702109,Araguaína,TO,capital de intermediaria,A
3545803,Santa Bárbara d'Oeste,SP,demais municipios,A
4208906,Jaraguá do Sul,SC,demais municipios,A
2903201,Barreiras,BA,capital de intermediaria,A
3523909,Itu,SP,demais municipios,A
3152501,Pouso Alegre,MG,capital de intermediaria,A
2900702,Alagoinhas,BA,capital de imediata,A
3507506,Botucatu,SP,capital de imediata,A
3548807,São Caetano do Sul,SP,conurbado com uf,A
4209300,Lages,SC,capital de intermediaria,A
5204508,Caldas Novas,GO,capital de imediata,A
2931350,Teixeira de Freitas,BA,capital de imediata,A
2112209,Timon,MA,capital de imediata,A
3522307,Itapetininga,SP,capital de imediata,A
3515707,Ferraz de Vasconcelos,SP,conurbado com uf,A
3538006,Pindamonhangaba,SP,demais municipios,A
3129806,Ibirité,MG,conurbado com uf,A
3204906,São Mateus,ES,capital de intermediaria,A
4127700,Toledo,PR,capital de imediata,A
3530706,Mogi Guaçu,SP,capital de imediata,A
3302858,Mesquita,RJ,conurbado com uf,A
2207702,Parnaíba,PI,capital de intermediaria,A
2603454,Camaragibe,PE,conurbado com uf,A
3522208,Itapecerica da Serra,SP,conurbado com uf,A
2606002,Garanhuns,PE,capital de imediata,A
3305505,Saquarema,RJ,demais municipios,A
2616407,Vitória de Santo Antão,PE,capital de imediata,A
3170701,Varginha,MG,capital de intermediaria,A
3168606,Teófilo Otoni,MG,capital de intermediaria,A
4101804,Araucária,PR,conurbado com uf,A
3304144,Queimados,RJ,conurbado com uf,A
3516309,Francisco Morato,SP,demais municipios,A
2103000,Caxias,MA,capital de intermediaria,A
5221403,Trindade,GO,conurbado com uf,A
5008305,Três Lagoas,MS,capital de imediata,A
4316808,Santa Cruz do Sul,RS,capital de intermediaria,A
1100122,Ji-Paraná,RO,capital de intermediaria,A
2107506,Paço do Lumiar,MA,conurbado com uf,A
5220454,Senador Canedo,GO,conurbado com uf,A
3547304,Santana de Parnaíba,SP,conurbado com uf,A
1500107,Abaetetuba,PA,capital de imediata,A
3525300,Jaú,SP,capital de imediata,A
4118204,Paranaguá,PR,capital de imediata,A
2513703,Santa Rita,PB,conurbado com uf,A
3503307,Araras,SP,capital de imediata,A
3304201,Resende,RJ,capital de imediata,A
3118304,Conselheiro Lafaiete,MG,capital de imediata,A
4303103,Cachoeirinha,RS,conurbado com uf,A
3302007,Itaguaí,RJ,conurbado com uf,A
3303203,Nilópolis,RJ,conurbado com uf,A
1500602,Altamira,PA,capital de intermediaria,A
3305208,São Pedro da Aldeia,RJ,demais municipios,A
2304202,Crato,CE,demais municipios,A
2306405,Itapipoca,CE,capital de imediata,A
2930709,Simões Filho,BA,conurbado com uf,A
3105608,Barbacena,MG,capital de intermediaria,A
3103504,Araguari,MG,demais municipios,A
4101408,Apucarana,PR,capital de imediata,A
4104204,Campo Largo,PR,conurbado com uf,A
3201506,Colatina,ES,capital de intermediaria,A
3506359,Bertioga,SP,demais municipios,A
3505500,Barretos,SP,capital de imediata,A
3506508,Birigui,SP,capital de imediata,A
4107652,Fazenda Rio Grande,PR,conurbado com uf,A
4202909,Brusque,SC,capital de imediata,A
4304630,Capão da Canoa,RS,demais municipios,A
4320008,Sapucaia do Sul,RS,conurbado com uf,A
3156700,Sabará,MG,conurbado com uf,A
3516408,Franco da Rocha,SP,demais municipios,A
3551702,Sertãozinho,SP,demais municipios,A
2910727,Eunápolis,BA,capital de imediata,A
4302105,Bento Gonçalves,RS,capital de imediata,A
3545209,Salto,SP,demais municipios,A
4128104,Umuarama,PR,capital de imediata,A
3147907,Passos,MG,capital de imediata,A
5208004,Formosa,GO,demais municipios,A
5205109,Catalão,GO,capital de imediata,A
3511102,Catanduva,SP,capital de imediata,A
3554003,Tatuí,SP,capital de imediata,A
2412005,São Gonçalo do Amarante,RN,conurbado com uf,A
4301602,Bagé,RS,capital de imediata,A
3171204,Vespasiano,MG,conurbado com uf,A
2606408,Gravatá,PE,demais municipios,A
2924009,Paulo Afonso,BA,capital de intermediaria,A
2928703,Santo Antônio de Jesus,BA,capital de intermediaria,A
2607208,Ipojuca,PE,demais municipios,A
4101507,Arapongas,PR,demais municipios,A
3531100,Mongaguá,SP,demais municipios,A
1501303,Barcarena,PA,demais municipios,A
3556206,Valinhos,SP,demais municipios,A
2932903,Valença,BA,capital de imediata,A
2803500,Lagarto,SE,capital de imediata,A
3143906,Muriaé,MG,capital de imediata,A
3302205,Itaperuna,RJ,capital de imediata,A
2606804,Igarassu,PE,demais municipios,A
3537602,Peruíbe,SP,demais municipios,A
3550704,São Sebastião,SP,demais municipios,A
3131703,Itabira,MG,capital de imediata,A
2613701,São Lourenço da Mata,PE,conurbado com uf,A
