Relação categoria x cluster detalhada - SC classe A sem capital de UF e conurbados,,,,,
"Os nomes dos municípios foram agrupados por categoria e cluster, com separação por linha dentro de cada célula.",,,,,
,,,,,
Categoria,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
capital de intermediaria,-,"Blumenau (SC)
Caçador (SC)
Criciúma (SC)
Joinville (SC)",-,-,"Chapecó (SC)
Lages (SC)"
capital de imediata,-,"Araranguá (SC)
Brusque (SC)
Concórdia (SC)
Curitibanos (SC)
Mafra (SC)
Rio do Sul (SC)
São Miguel do Oeste (SC)
Tubarão (SC)
Videira (SC)
Xanxerê (SC)",São Bento do Sul (SC),Itajaí (SC),-
demais municipios,"Balneário Camboriú (SC)
Itapema (SC)","Balneário Piçarras (SC)
Barra Velha (SC)
Bombinhas (SC)
Camboriú (SC)
Canoinhas (SC)
Garopaba (SC)
Gaspar (SC)
Guaramirim (SC)
Imbituba (SC)
Itapoá (SC)
Içara (SC)
Jaguaruna (SC)
Jaraguá do Sul (SC)
Laguna (SC)
Navegantes (SC)
Penha (SC)
Tijucas (SC)","Indaial (SC)
Timbó (SC)","Araquari (SC)
São Francisco do Sul (SC)",-
,,,,,
Total de municípios no universo: 41. Total de domicílios no universo: 2186072.,,,,,
