Resumo de domicílios por cluster - BR todos sem capital de UF e conurbados,,,,
Total de domicílios no universo: 75069415 | Total de domicílios no Brasil: 111102875,,,,
,,,,
Cluster,Quantidade de municípios,Domicílios (n),% de domicílios no universo,% de domicílios no Brasil
1,1146,21827712,29.07670454072407,19.64639708918424
2,1070,10128125,13.49167966741182,9.115988222627003
3,814,18050396,24.04494027294605,16.24656067631013
4,582,8958858,11.93409859394801,8.063569912119736
5,1811,16104324,21.45257692497004,14.49496603935767
