Relação categoria x cluster detalhada - SC todos sem capital de UF e conurbados,,,,,
"Os nomes dos municípios foram agrupados por categoria e cluster, com separação por linha dentro de cada célula.",,,,,
,,,,,
Categoria,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
capital de intermediaria,"Blumenau (SC)
Chapecó (SC)
Criciúma (SC)
Joinville (SC)
Lages (SC)",-,Caçador (SC),-,-
capital de imediata,"Itajaí (SC)
Joaçaba (SC)
São Miguel do Oeste (SC)
Tubarão (SC)","Araranguá (SC)
Brusque (SC)","Concórdia (SC)
Curitibanos (SC)
Maravilha (SC)
Rio do Sul (SC)
São Lourenço do Oeste (SC)
Videira (SC)
Xanxerê (SC)","Ibirama (SC)
Ituporanga (SC)
São Bento do Sul (SC)",Mafra (SC)
demais municipios,"Balneário Camboriú (SC)
Itapema (SC)
Jaraguá do Sul (SC)","Angelina (SC)
Anitápolis (SC)
Antônio Carlos (SC)
Araquari (SC)
Armazém (SC)
Balneário Arroio do Silva (SC)
Balneário Barra do Sul (SC)
Balneário Gaivota (SC)
Balneário Piçarras (SC)
Balneário Rincão (SC)
Barra Velha (SC)
Bom Jardim da Serra (SC)
Bombinhas (SC)
Botuverá (SC)
Braço do Norte (SC)
Camboriú (SC)
Campo Alegre (SC)
Canelinha (SC)
Capivari de Baixo (SC)
Cocal do Sul (SC)
Ermo (SC)
Forquilhinha (SC)
Garopaba (SC)
Garuva (SC)
Gaspar (SC)
Governador Celso Ramos (SC)
Gravatal (SC)
Guabiruba (SC)
Guaramirim (SC)
Ilhota (SC)
Imbituba (SC)
Itapoá (SC)
Içara (SC)
Jacinto Machado (SC)
Jaguaruna (SC)
Laguna (SC)
Lauro Müller (SC)
Luiz Alves (SC)
Major Gercino (SC)
Maracajá (SC)
Massaranduba (SC)
Meleiro (SC)
Morro Grande (SC)
Morro da Fumaça (SC)
Navegantes (SC)
Nova Trento (SC)
Nova Veneza (SC)
Orleans (SC)
Passo de Torres (SC)
Paulo Lopes (SC)
Pedras Grandes (SC)
Penha (SC)
Pescaria Brava (SC)
Pomerode (SC)
Porto Belo (SC)
Praia Grande (SC)
Rancho Queimado (SC)
Rio Fortuna (SC)
Sangão (SC)
Santa Rosa de Lima (SC)
Santa Rosa do Sul (SC)
Santo Amaro da Imperatriz (SC)
Schroeder (SC)
Siderópolis (SC)
Sombrio (SC)
São Bonifácio (SC)
São Francisco do Sul (SC)
São João Batista (SC)
São João do Itaperiú (SC)
São João do Sul (SC)
São Ludgero (SC)
São Martinho (SC)
São Pedro de Alcântara (SC)
Tijucas (SC)
Timbé do Sul (SC)
Treviso (SC)
Treze de Maio (SC)
Turvo (SC)
Urussanga (SC)
Águas Mornas (SC)","Abelardo Luz (SC)
Agrolândia (SC)
Agronômica (SC)
Alto Bela Vista (SC)
Anchieta (SC)
Arabutã (SC)
Arroio Trinta (SC)
Arvoredo (SC)
Atalanta (SC)
Barra Bonita (SC)
Bom Jesus (SC)
Bom Jesus do Oeste (SC)
Braço do Trombudo (SC)
Caibi (SC)
Campos Novos (SC)
Capinzal (SC)
Catanduvas (SC)
Caxambu do Sul (SC)
Cordilheira Alta (SC)
Coronel Freitas (SC)
Cunha Porã (SC)
Cunhataí (SC)
Descanso (SC)
Dionísio Cerqueira (SC)
Dona Emma (SC)
Erval Velho (SC)
Faxinal dos Guedes (SC)
Flor do Sertão (SC)
Formosa do Sul (SC)
Fraiburgo (SC)
Galvão (SC)
Guaraciaba (SC)
Guarujá do Sul (SC)
Guatambú (SC)
Herval d'Oeste (SC)
Ibiam (SC)
Ibicaré (SC)
Iomerê (SC)
Ipira (SC)
Iporã do Oeste (SC)
Ipumirim (SC)
Iraceminha (SC)
Itapiranga (SC)
Itá (SC)
Jaborá (SC)
Jardinópolis (SC)
Lacerdópolis (SC)
Lajeado Grande (SC)
Laurentino (SC)
Lindóia do Sul (SC)
Luzerna (SC)
Marema (SC)
Modelo (SC)
Mondaí (SC)
Nova Erechim (SC)
Nova Itaberaba (SC)
Otacílio Costa (SC)
Ouro (SC)
Paial (SC)
Palma Sola (SC)
Palmeira (SC)
Palmitos (SC)
Passos Maia (SC)
Peritiba (SC)
Pinhalzinho (SC)
Pinheiro Preto (SC)
Piratuba (SC)
Planalto Alegre (SC)
Ponte Serrada (SC)
Porto União (SC)
Pouso Redondo (SC)
Presidente Castello Branco (SC)
Presidente Getúlio (SC)
Princesa (SC)
Quilombo (SC)
Riqueza (SC)
Salete (SC)
Salto Veloso (SC)
Santiago do Sul (SC)
Saudades (SC)
Seara (SC)
Serra Alta (SC)
São Carlos (SC)
São Domingos (SC)
São José do Cedro (SC)
São João do Oeste (SC)
Taió (SC)
Tangará (SC)
Treze Tílias (SC)
Trombudo Central (SC)
Tunápolis (SC)
Vargem Bonita (SC)
Vargeão (SC)
Xavantina (SC)
Xaxim (SC)
Água Doce (SC)
Águas Frias (SC)
Águas de Chapecó (SC)","Alfredo Wagner (SC)
Apiúna (SC)
Ascurra (SC)
Aurora (SC)
Benedito Novo (SC)
Bom Retiro (SC)
Chapadão do Lageado (SC)
Corupá (SC)
Doutor Pedrinho (SC)
Grão-Pará (SC)
Imbuia (SC)
Indaial (SC)
José Boiteux (SC)
Leoberto Leal (SC)
Lontras (SC)
Presidente Nereu (SC)
Rio Negrinho (SC)
Rio dos Cedros (SC)
Rodeio (SC)
São Joaquim (SC)
Timbó (SC)
Urubici (SC)
Vidal Ramos (SC)","Abdon Batista (SC)
Anita Garibaldi (SC)
Bandeirante (SC)
Bela Vista do Toldo (SC)
Belmonte (SC)
Bocaina do Sul (SC)
Brunópolis (SC)
Calmon (SC)
Campo Belo do Sul (SC)
Campo Erê (SC)
Canoinhas (SC)
Capão Alto (SC)
Celso Ramos (SC)
Cerro Negro (SC)
Coronel Martins (SC)
Correia Pinto (SC)
Entre Rios (SC)
Frei Rogério (SC)
Imaruí (SC)
Ipuaçu (SC)
Irani (SC)
Irati (SC)
Irineópolis (SC)
Itaiópolis (SC)
Jupiá (SC)
Lebon Régis (SC)
Macieira (SC)
Major Vieira (SC)
Matos Costa (SC)
Mirim Doce (SC)
Monte Carlo (SC)
Monte Castelo (SC)
Novo Horizonte (SC)
Ouro Verde (SC)
Painel (SC)
Papanduva (SC)
Paraíso (SC)
Petrolândia (SC)
Ponte Alta (SC)
Ponte Alta do Norte (SC)
Rio Rufino (SC)
Rio das Antas (SC)
Rio do Campo (SC)
Rio do Oeste (SC)
Romelândia (SC)
Saltinho (SC)
Santa Cecília (SC)
Santa Helena (SC)
Santa Terezinha (SC)
Santa Terezinha do Progresso (SC)
Sul Brasil (SC)
São Bernardino (SC)
São Cristóvão do Sul (SC)
São José do Cerrito (SC)
São Miguel da Boa Vista (SC)
Tigrinhos (SC)
Timbó Grande (SC)
Três Barras (SC)
União do Oeste (SC)
Urupema (SC)
Vargem (SC)
Vitor Meireles (SC)
Witmarsum (SC)
Zortéa (SC)"
,,,,,
Total de municípios no universo: 291. Total de domicílios no universo: 3573776.,,,,,
