Cluster x categoria x classe ABC x UF - BR todos sem capital de UF e conurbados,,,,
Total de municípios no universo: 5423 | Total de domicílios no universo: 75069415,,,,
,,,,
Cluster,Categoria,Classe ABC,UF,Quantidade de municípios
3,demais municipios,C,PE,16
3,demais municipios,C,PI,5
3,demais municipios,C,PR,6
3,demais municipios,C,RJ,10
3,demais municipios,C,RN,50
3,demais municipios,C,RS,42
3,demais municipios,C,SC,50
3,demais municipios,C,SE,34
3,demais municipios,C,SP,22
4,capital de intermediaria,A,AL,1
4,capital de intermediaria,A,CE,1
4,capital de intermediaria,A,MG,1
4,capital de intermediaria,A,PA,1
4,capital de intermediaria,A,PB,1
4,capital de intermediaria,A,PE,1
4,capital de intermediaria,A,RS,1
4,capital de intermediaria,A,SP,2
4,capital de imediata,A,AL,2
4,capital de imediata,A,BA,4
4,capital de imediata,A,CE,2
4,capital de imediata,A,ES,2
4,capital de imediata,A,MA,1
4,capital de imediata,A,MG,1
4,capital de imediata,A,PA,1
4,capital de imediata,A,PB,1
4,capital de imediata,A,PE,3
4,capital de imediata,A,PI,1
4,capital de imediata,A,RJ,4
4,capital de imediata,A,RN,1
4,capital de imediata,A,RS,2
4,capital de imediata,A,SC,1
4,capital de imediata,A,SE,1
4,capital de imediata,A,SP,2
4,capital de imediata,B,CE,1
4,capital de imediata,B,ES,1
4,capital de imediata,B,MG,1
4,capital de imediata,B,PB,2
4,capital de imediata,B,SC,1
4,capital de imediata,C,MA,1
4,capital de imediata,C,RN,1
4,capital de imediata,C,SC,1
4,demais municipios,A,BA,7
4,demais municipios,A,CE,3
4,demais municipios,A,MG,1
4,demais municipios,A,PA,5
4,demais municipios,A,PE,5
4,demais municipios,A,PR,1
4,demais municipios,A,RJ,2
4,demais municipios,A,RN,1
4,demais municipios,A,RS,5
4,demais municipios,A,SC,2
4,demais municipios,A,SE,3
4,demais municipios,A,SP,20
4,demais municipios,B,AL,6
4,demais municipios,B,BA,11
4,demais municipios,B,CE,8
4,demais municipios,B,ES,9
4,demais municipios,B,MA,7
4,demais municipios,B,MG,1
4,demais municipios,B,PA,5
4,demais municipios,B,PB,7
4,demais municipios,B,PE,13
4,demais municipios,B,PI,3
4,demais municipios,B,PR,5
4,demais municipios,B,RJ,3
4,demais municipios,B,RN,1
4,demais municipios,B,RS,10
4,demais municipios,B,SC,2
4,demais municipios,B,SE,3
4,demais municipios,B,SP,8
4,demais municipios,C,AL,20
4,demais municipios,C,AP,1
4,demais municipios,C,BA,44
4,demais municipios,C,CE,18
4,demais municipios,C,ES,18
4,demais municipios,C,MA,24
4,demais municipios,C,MG,39
4,demais municipios,C,PA,5
4,demais municipios,C,PB,33
4,demais municipios,C,PE,21
4,demais municipios,C,PI,9
4,demais municipios,C,PR,7
4,demais municipios,C,RJ,14
4,demais municipios,C,RN,28
4,demais municipios,C,RS,42
4,demais municipios,C,SC,19
4,demais municipios,C,SE,15
4,demais municipios,C,SP,21
5,capital de intermediaria,A,BA,2
5,capital de intermediaria,A,CE,2
5,capital de intermediaria,A,MA,3
5,capital de intermediaria,A,PA,3
5,capital de intermediaria,A,PB,2
5,capital de intermediaria,A,PE,1
5,capital de intermediaria,A,PI,1
5,capital de intermediaria,A,RN,1
5,capital de imediata,A,AL,2
5,capital de imediata,A,BA,12
5,capital de imediata,A,CE,4
5,capital de imediata,A,MA,6
5,capital de imediata,A,MG,7
5,capital de imediata,A,PA,5
5,capital de imediata,A,PB,2
5,capital de imediata,A,PE,5
5,capital de imediata,A,PI,4
5,capital de imediata,A,RN,1
5,capital de imediata,B,AL,1
5,capital de imediata,B,AP,1
5,capital de imediata,B,MA,2
5,capital de imediata,B,MG,4
5,capital de imediata,B,PA,1
5,capital de imediata,B,PB,4
5,capital de imediata,B,PI,2
5,capital de imediata,B,RN,1
5,capital de imediata,B,TO,1
5,capital de imediata,C,MG,3
5,capital de imediata,C,PB,1
5,capital de imediata,C,PI,1
5,capital de imediata,C,PR,1
5,capital de imediata,C,RR,2
5,capital de imediata,C,TO,1
5,demais municipios,A,BA,21
5,demais municipios,A,CE,16
5,demais municipios,A,ES,1
5,demais municipios,A,MA,5
5,demais municipios,A,MG,9
5,demais municipios,A,PA,14
5,demais municipios,A,PB,1
5,demais municipios,A,PE,18
5,demais municipios,A,PI,3
5,demais municipios,A,PR,1
5,demais municipios,A,RS,3
5,demais municipios,A,SE,1
5,demais municipios,B,AL,4
5,demais municipios,B,BA,62
5,demais municipios,B,CE,21
5,demais municipios,B,MA,21
5,demais municipios,B,MG,45
5,demais municipios,B,PA,20
5,demais municipios,B,PB,3
5,demais municipios,B,PE,23
5,demais municipios,B,PI,5
5,demais municipios,B,PR,3
5,demais municipios,B,RJ,1
5,demais municipios,B,RN,2
5,demais municipios,B,RS,5
5,demais municipios,B,SE,1
5,demais municipios,C,AL,19
5,demais municipios,C,AP,3
5,demais municipios,C,BA,112
5,demais municipios,C,CE,51
5,demais municipios,C,ES,5
5,demais municipios,C,MA,85
5,demais municipios,C,MG,486
5,demais municipios,C,PA,8
5,demais municipios,C,PB,128
5,demais municipios,C,PE,43
5,demais municipios,C,PI,110
5,demais municipios,C,PR,114
5,demais municipios,C,RJ,2
5,demais municipios,C,RN,60
5,demais municipios,C,RR,7
5,demais municipios,C,RS,122
5,demais municipios,C,SC,38
5,demais municipios,C,SP,6
5,demais municipios,C,TO,14
,,,,
"Tabela consolidada a partir da base municipal do modelo final, já filtrada pelos universos definidos no relatório.",,,,
