Resumo de domicílios por cluster - BR classe A sem capital de UF e conurbados,,,,
Total de domicílios no universo: 43667223 | Total de domicílios no Brasil: 111102875,,,,
,,,,
Cluster,Quantidade de municípios,Domicílios (n),% de domicílios no universo,% de domicílios no Brasil
1,3,676004,1.548081040097283,0.6084487012599809
2,298,20012021,45.82847184946934,18.01215405091902
3,122,5604869,12.835414333538,5.044756042541653
4,94,5313307,12.16772360358249,4.782330790269828
5,308,12061022,27.6203091733129,10.85572448057712
