Relação categoria x cluster detalhada - BR classe A sem capital de UF e conurbados,,,,,
"Os nomes dos municípios foram agrupados por categoria e cluster, com separação por linha dentro de cada célula.",,,,,
,,,,,
Categoria,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
capital de intermediaria,-,"Araraquara (SP)
Araçatuba (SP)
Barbacena (MG)
Bauru (SP)
Blumenau (SC)
Cachoeiro de Itapemirim (ES)
Campinas (SP)
Campos dos Goytacazes (RJ)
Cascavel (PR)
Caçador (SC)
Chapecó (SC)
Colatina (ES)
Criciúma (SC)
Divinópolis (MG)
Feira de Santana (BA)
Governador Valadares (MG)
Guarapuava (PR)
Ijuí (RS)
Ipatinga (MG)
Joinville (SC)
Juazeiro do Norte (CE)
Lages (SC)
Londrina (PR)
Macaé (RJ)
Maringá (PR)
Marília (SP)
Montes Claros (MG)
Mossoró (RN)
Passo Fundo (RS)
Patos de Minas (MG)
Pelotas (RS)
Petrópolis (RJ)
Ponta Grossa (PR)
Pouso Alegre (MG)
Presidente Prudente (SP)
Ribeirão Preto (SP)
Santa Cruz do Sul (RS)
Santa Maria (RS)
São José do Rio Preto (SP)
Uberaba (MG)
Varginha (MG)
Volta Redonda (RJ)","Araguaína (TO)
Barra do Garças (MT)
Barreiras (BA)
Corumbá (MS)
Cruzeiro do Sul (AC)
Cáceres (MT)
Dourados (MS)
Gurupi (TO)
Itumbiara (GO)
Ji-Paraná (RO)
Luziânia (GO)
Parintins (AM)
Porangatu (GO)
Redenção (PA)
Rio Verde (GO)
Rondonópolis (MT)
Sinop (MT)
São Luís de Montes Belos (GO)
São Raimundo Nonato (PI)
Tefé (AM)
Uberlândia (MG)","Arapiraca (AL)
Breves (PA)
Campina Grande (PB)
Caruaru (PE)
Caxias do Sul (RS)
Juiz de Fora (MG)
Sobral (CE)
Sorocaba (SP)
São José dos Campos (SP)","Altamira (PA)
Caicó (RN)
Castanhal (PA)
Caxias (MA)
Crateús (CE)
Floriano (PI)
Guanambi (BA)
Iguatu (CE)
Ilhéus (BA)
Imperatriz (MA)
Irecê (BA)
Itabaiana (SE)
Juazeiro (BA)
Marabá (PA)
Parnaíba (PI)
Patos (PB)
Paulo Afonso (BA)
Petrolina (PE)
Picos (PI)
Presidente Dutra (MA)
Quixadá (CE)
Santa Inês (MA)
Santarém (PA)
Santo Antônio de Jesus (BA)
Serra Talhada (PE)
Sousa (PB)
São Mateus (ES)
Teófilo Otoni (MG)
Uruguaiana (RS)
Vitória da Conquista (BA)"
capital de imediata,Santos (SP),"Alfenas (MG)
Amparo (SP)
Angra dos Reis (RJ)
Apucarana (PR)
Araranguá (SC)
Araras (SP)
Araxá (MG)
Assis (SP)
Avaré (SP)
Barretos (SP)
Birigui (SP)
Botucatu (SP)
Brusque (SC)
Cabo Frio (RJ)
Campo Belo (MG)
Campo Mourão (PR)
Caraguatatuba (SP)
Carazinho (RS)
Cataguases (MG)
Catanduva (SP)
Cianorte (PR)
Concórdia (SC)
Conselheiro Lafaiete (MG)
Cornélio Procópio (PR)
Cruz Alta (RS)
Curitibanos (SC)
Dois Vizinhos (PR)
Erechim (RS)
Formiga (MG)
Franca (SP)
Francisco Beltrão (PR)
Frutal (MG)
Guaratinguetá (SP)
Guaxupé (MG)
Irati (PR)
Itabira (MG)
Itajaí (SC)
Itapetininga (SP)
Itapeva (SP)
Ituverava (SP)
Jaú (SP)
João Monlevade (MG)
Lavras (MG)
Limeira (SP)
Linhares (ES)
Lins (SP)
Manhuaçu (MG)
Marau (RS)
Mogi Guaçu (SP)
Montenegro (RS)
Muriaé (MG)
Nova Friburgo (RJ)
Novo Hamburgo (RS)
Ourinhos (SP)
Paranaguá (PR)
Paranavaí (PR)
Pará de Minas (MG)
Passos (MG)
Pato Branco (PR)
Patrocínio (MG)
Piracicaba (SP)
Ponte Nova (MG)
Poços de Caldas (MG)
Registro (SP)
Resende (RJ)
Rio Bonito (RJ)
Rio Claro (SP)
Rio do Sul (SC)
Santa Rosa (RS)
Santiago (RS)
Santo Antônio da Platina (PR)
Santo Ângelo (RS)
Sete Lagoas (MG)
São Carlos (SP)
São Joaquim da Barra (SP)
São José do Rio Pardo (SP)
São João da Boa Vista (SP)
São João del Rei (MG)
São Lourenço (MG)
São Luiz Gonzaga (RS)
São Miguel do Oeste (SC)
São Sebastião do Paraíso (MG)
Taquara (RS)
Tatuí (SP)
Taubaté (SP)
Telêmaco Borba (PR)
Torres (RS)
Tramandaí (RS)
Três Corações (MG)
Tubarão (SC)
Tupã (SP)
Ubá (MG)
União da Vitória (PR)
Vacaria (RS)
Videira (SC)
Viçosa (MG)
Xanxerê (SC)","Alta Floresta (MT)
Andradina (SP)
Anápolis (GO)
Aquidauana (MS)
Ariquemes (RO)
Balsas (MA)
Cacoal (RO)
Caldas Novas (GO)
Catalão (GO)
Coari (AM)
Dracena (SP)
Fernandópolis (SP)
Foz do Iguaçu (PR)
Inhumas (GO)
Iporá (GO)
Itacoatiara (AM)
Itaituba (PA)
Ituiutaba (MG)
Iturama (MG)
Jales (SP)
Januária (MG)
Jaru (RO)
Juara (MT)
Juína (MT)
Manacapuru (AM)
Marechal Cândido Rondon (PR)
Mineiros (GO)
Monte Carmelo (MG)
Naviraí (MS)
Nova Andradina (MS)
Paranaíba (MS)
Parauapebas (PA)
Paraíso do Tocantins (TO)
Pirapora (MG)
Ponta Porã (MS)
Pontes e Lacerda (MT)
Porto Nacional (TO)
Primavera do Leste (MT)
Quirinópolis (GO)
Santa Fé do Sul (SP)
Santa Maria da Vitória (BA)
Sorriso (MT)
São Francisco (MG)
Tabatinga (AM)
Tangará da Serra (MT)
Toledo (PR)
Três Lagoas (MS)
Umuarama (PR)
Unaí (MG)
Uruaçu (GO)
Vilhena (RO)
Votuporanga (SP)
Xinguara (PA)
Águas Lindas de Goiás (GO)","Alegre (ES)
Bento Gonçalves (RS)
Bragança Paulista (SP)
Canindé (CE)
Capitão Poço (PA)
Chapadinha (MA)
Cruzeiro (SP)
Esperantina (PI)
Garanhuns (PE)
Guarabira (PB)
Ipiaú (BA)
Itajubá (MG)
Itapajé (CE)
Itaperuna (RJ)
Itapetinga (BA)
Jequié (BA)
Jundiaí (SP)
Lajeado (RS)
Limoeiro (PE)
Nossa Senhora da Glória (SE)
Nova Venécia (ES)
Palmeira dos Índios (AL)
Santa Cruz (RN)
Santo Antônio de Pádua (RJ)
Serrinha (BA)
Surubim (PE)
São Bento do Sul (SC)
Três Rios (RJ)
União dos Palmares (AL)
Valença (RJ)","Abaetetuba (PA)
Acaraú (CE)
Afogados da Ingazeira (PE)
Alagoinhas (BA)
Almenara (MG)
Aracati (CE)
Araripina (PE)
Araçuaí (MG)
Arcoverde (PE)
Açailândia (MA)
Açu (RN)
Bacabal (MA)
Bagé (RS)
Barra do Corda (MA)
Barras (PI)
Barreirinhas (MA)
Barreiros (PE)
Belo Jardim (PE)
Bom Jesus da Lapa (BA)
Bragança (PA)
Brejo Santo (CE)
Brumado (BA)
Cachoeira do Sul (RS)
Cajazeiras (PB)
Camaquã (RS)
Cametá (PA)
Camocim (CE)
Campo Maior (PI)
Capanema (PA)
Capelinha (MG)
Carangola (MG)
Caratinga (MG)
Carpina (PE)
Codó (MA)
Colinas (MA)
Conceição do Coité (BA)
Cruz das Almas (BA)
Currais Novos (RN)
Curvelo (MG)
Cícero Dantas (BA)
Delmiro Gouveia (AL)
Diamantina (MG)
Escada (PE)
Estância (SE)
Euclides da Cunha (BA)
Eunápolis (BA)
Goiana (PE)
Guanhães (MG)
Icó (CE)
Itaberaba (BA)
Itapecuru Mirim (MA)
Itapipoca (CE)
Jacobina (BA)
Janaúba (MG)
Jeremoabo (BA)
Lagarto (SE)
Mafra (SC)
Mamanguape (PB)
Monteiro (PB)
Oeiras (PI)
Oliveira (MG)
Oriximiná (PA)
Palmares (PE)
Paragominas (PA)
Penedo (AL)
Pinheiro (MA)
Piripiri (PI)
Pitanga (PR)
Piumhi (MG)
Ribeira do Pombal (BA)
Russas (CE)
Salgueiro (PE)
Salinas (MG)
Sant'Ana do Livramento (RS)
Santana do Ipanema (AL)
Seabra (BA)
Senhor do Bonfim (BA)
São Benedito (CE)
São Borja (RS)
São Gabriel (RS)
São Miguel dos Campos (AL)
Tauá (CE)
Teixeira de Freitas (BA)
Timon (MA)
Três Pontas (MG)
Tucuruí (PA)
Tutóia (MA)
Valença (BA)
Viana (MA)
Vitória de Santo Antão (PE)
Xique-Xique (BA)"
demais municipios,"Praia Grande (SP)
São Vicente (SP)","Americana (SP)
Anchieta (ES)
Andradas (MG)
Aracruz (ES)
Arapongas (PR)
Araquari (SC)
Araçoiaba da Serra (SP)
Arcos (MG)
Armação dos Búzios (RJ)
Arroio do Sal (RS)
Artur Nogueira (SP)
Balneário Camboriú (SC)
Balneário Piçarras (SC)
Barra Mansa (RJ)
Barra Velha (SC)
Barra do Piraí (RJ)
Batatais (SP)
Bebedouro (SP)
Bertioga (SP)
Boituva (SP)
Bom Despacho (MG)
Bombinhas (SC)
Brumadinho (MG)
Caeté (MG)
Camaçari (BA)
Camboriú (SC)
Cambé (PR)
Campina Grande do Sul (PR)
Campo Bom (RS)
Capivari (SP)
Capão da Canoa (RS)
Castelo (ES)
Castro (PR)
Cerquilho (SP)
Cidreira (RS)
Congonhas (MG)
Coronel Fabriciano (MG)
Cosmópolis (SP)
Cubatão (SP)
Domingos Martins (ES)
Espírito Santo do Pinhal (SP)
Estância Velha (RS)
Extrema (MG)
Garopaba (SC)
Garça (SP)
Gaspar (SC)
Gramado (RS)
Gravataí (RS)
Guaramirim (SC)
Guarapari (ES)
Guaratuba (PR)
Guarujá (SP)
Guaíba (RS)
Guaíra (SP)
Hortolândia (SP)
Ibiporã (PR)
Ibitinga (SP)
Ibiúna (SP)
Igarapé (MG)
Ilhabela (SP)
Imbituba (SC)
Imbé (RS)
Indaiatuba (SP)
Ipojuca (PE)
Itabirito (MG)
Itabuna (BA)
Itanhaém (SP)
Itapema (SC)
Itapira (SP)
Itapoá (SC)
Itararé (SP)
Itaúna (MG)
Itupeva (SP)
Itápolis (SP)
Içara (SC)
Jaboticabal (SP)
Jacarezinho (PR)
Jacareí (SP)
Jaguariúna (SP)
Jaguaruna (SC)
Jaraguá do Sul (SC)
Jardinópolis (SP)
José Bonifácio (SP)
Lagoa Santa (MG)
Lagoa da Prata (MG)
Laguna (SC)
Leme (SP)
Lençóis Paulista (SP)
Leopoldina (MG)
Lorena (SP)
Louveira (SP)
Machado (MG)
Mangaratiba (RJ)
Marialva (PR)
Mariana (MG)
Maricá (RJ)
Matinhos (PR)
Matão (SP)
Mirassol (SP)
Mococa (SP)
Mogi Mirim (SP)
Mongaguá (SP)
Monte Alto (SP)
Monte Mor (SP)
Navegantes (SC)
Niterói (RJ)
Nova Odessa (SP)
Nova Serrana (MG)
Novo Horizonte (SP)
Olímpia (SP)
Osório (RS)
Ouro Branco (MG)
Ouro Preto (MG)
Paiçandu (PR)
Panambi (RS)
Paraguaçu Paulista (SP)
Paraty (RJ)
Paulínia (SP)
Pederneiras (SP)
Pedreira (SP)
Penha (SC)
Penápolis (SP)
Peruíbe (SP)
Pirassununga (SP)
Pontal do Paraná (PR)
Porto Feliz (SP)
Porto Ferreira (SP)
Rio Grande (RS)
Rio das Ostras (RJ)
Rolândia (PR)
Salto (SP)
Santa Bárbara d'Oeste (SP)
Santa Cruz do Rio Pardo (SP)
Santa Isabel (SP)
Santa Rita do Sapucaí (MG)
Santana do Paraíso (MG)
Sapiranga (RS)
Saquarema (RJ)
Sarandi (PR)
Serra Negra (SP)
Serrana (SP)
Sertãozinho (SP)
Socorro (SP)
Sumaré (SP)
São Francisco do Sul (SC)
São Gotardo (MG)
São Leopoldo (RS)
São Pedro (SP)
São Sebastião (SP)
Taquaritinga (SP)
Teresópolis (RJ)
Tijucas (SC)
Timóteo (MG)
Ubatuba (SP)
Valinhos (SP)
Vargem Grande do Sul (SP)
Vassouras (RJ)
Vinhedo (SP)
Xangri-lá (RS)","Alexânia (GO)
Araguari (MG)
Autazes (AM)
Bela Vista de Goiás (GO)
Brasília de Minas (MG)
Campo Alegre de Lourdes (BA)
Campo Novo do Parecis (MT)
Campo Verde (MT)
Canaã dos Carajás (PA)
Carinhanha (BA)
Conceição do Araguaia (PA)
Coromandel (MG)
Correntina (BA)
Cristalina (GO)
Formosa (GO)
Goianira (GO)
Goianésia (GO)
Goiatuba (GO)
Humaitá (AM)
Iranduba (AM)
Itaberaí (GO)
Jaraguá (GO)
Jataí (GO)
João Pinheiro (MG)
Juruti (PA)
Lucas do Rio Verde (MT)
Luís Eduardo Magalhães (BA)
Machadinho D'Oeste (RO)
Maracaju (MS)
Maués (AM)
Medianeira (PR)
Morrinhos (GO)
Niquelândia (GO)
Nova Mutum (MT)
Ouro Preto do Oeste (RO)
Paracatu (MG)
Pimenta Bueno (RO)
Planaltina (GO)
Posse (GO)
Presidente Epitácio (SP)
Presidente Figueiredo (AM)
Rolim de Moura (RO)
Santa Helena de Goiás (GO)
Santo Antônio do Descoberto (GO)
Sidrolândia (MS)
São Desidério (BA)
São Félix do Xingu (PA)","Acará (PA)
Amargosa (BA)
Apodi (RN)
Atibaia (SP)
Barcarena (PA)
Benevides (PA)
Bezerros (PE)
Bom Conselho (PE)
Bom Jardim (PE)
Bom Jesus do Itabapoana (RJ)
Bonito (PE)
Cabreúva (SP)
Campo Limpo Paulista (SP)
Campos do Jordão (SP)
Canela (RS)
Capão Bonito (SP)
Caçapava (SP)
Farroupilha (RS)
Francisco Morato (SP)
Franco da Rocha (SP)
Gravatá (PE)
Indaial (SC)
Inhambupe (BA)
Ipirá (BA)
Itapicuru (BA)
Itatiba (SP)
Itu (SP)
Jaguaquara (BA)
Jarinu (SP)
Lapa (PR)
Limoeiro do Norte (CE)
Mairinque (SP)
Nanuque (MG)
Paripiranga (BA)
Parobé (RS)
Piedade (SP)
Pindamonhangaba (SP)
Porto da Folha (SE)
Riachão do Jacuípe (BA)
Rio Pardo (RS)
Salto de Pirapora (SP)
Santa Izabel do Pará (PA)
Simão Dias (SE)
São Fidélis (RJ)
São Miguel do Guamá (PA)
São Roque (SP)
Tabuleiro do Norte (CE)
Tianguá (CE)
Timbó (SC)
Tobias Barreto (SE)
Tremembé (SP)
Vargem Grande Paulista (SP)
Venâncio Aires (RS)
Votorantim (SP)
Várzea Paulista (SP)","Abreu e Lima (PE)
Acopiara (CE)
Alegrete (RS)
Alenquer (PA)
Amontada (CE)
Aquiraz (CE)
Araci (BA)
Araruama (RJ)
Arraial do Cabo (RJ)
Baião (PA)
Balneário Pinhal (RS)
Barbalha (CE)
Barra (BA)
Barra de São Francisco (ES)
Barra do Choça (BA)
Barra dos Coqueiros (SE)
Beberibe (CE)
Boa Esperança (MG)
Boa Viagem (CE)
Bocaiúva (MG)
Bodocó (PE)
Brejo da Madre de Deus (PE)
Breu Branco (PA)
Buriticupu (MA)
Buíque (PE)
Cachoeira (BA)
Cachoeiras de Macacu (RJ)
Caetité (BA)
Camamu (BA)
Campo Formoso (BA)
Canavieiras (BA)
Candeias (BA)
Candelária (RS)
Canguçu (RS)
Canoinhas (SC)
Cansanção (BA)
Capim Grosso (BA)
Casa Nova (BA)
Cascavel (CE)
Casimiro de Abreu (RJ)
Catu (BA)
Caçapava do Sul (RS)
Ceará-Mirim (RN)
Conceição do Jacuípe (BA)
Conde (PB)
Coroatá (MA)
Coruripe (AL)
Crato (CE)
Custódia (PE)
Dias d'Ávila (BA)
Dom Pedrito (RS)
Entre Rios (BA)
Esmeraldas (MG)
Exu (PE)
Grajaú (MA)
Granja (CE)
Guapimirim (RJ)
Guaraciaba do Norte (CE)
Horizonte (CE)
Igarapé-Miri (PA)
Igarassu (PE)
Iguaba Grande (RJ)
Iguape (SP)
Ilha de Itamaracá (PE)
Ipu (CE)
Ipueiras (CE)
Irará (BA)
Itabaianinha (SE)
Itaboraí (RJ)
Itacaré (BA)
Itamaraju (BA)
Itamarandiba (MG)
Itapemirim (ES)
Itaporanga d'Ajuda (SE)
Itarema (CE)
Itiúba (BA)
Itupiranga (PA)
Jaboticatubas (MG)
Jaguarari (BA)
Jaguaribe (CE)
Jaíba (MG)
José de Freitas (PI)
Lago da Pedra (MA)
Lajedo (PE)
Livramento de Nossa Senhora (BA)
Luís Correia (PI)
Macaúbas (BA)
Magé (RJ)
Maragogi (AL)
Maragogipe (BA)
Maranguape (CE)
Marataízes (ES)
Maraú (BA)
Marechal Deodoro (AL)
Mata de São João (BA)
Mateus Leme (MG)
Mauriti (CE)
Missão Velha (CE)
Moju (PA)
Mombaça (CE)
Monte Alegre (PA)
Monte Santo (BA)
Morada Nova (CE)
Moreno (PE)
Morro do Chapéu (BA)
Mucuri (BA)
Nova Viçosa (BA)
Novo Repartimento (PA)
Nísia Floresta (RN)
Ouricuri (PE)
Ouro Fino (MG)
Pacajus (CE)
Pacajá (PA)
Palmas (PR)
Paracambi (RJ)
Paracuru (CE)
Parambu (CE)
Paraíba do Sul (RJ)
Paudalho (PE)
Pedra Branca (CE)
Pedro II (PI)
Pentecoste (CE)
Pesqueira (PE)
Pilão Arcado (BA)
Porteirinha (MG)
Porto Seguro (BA)
Poço Redondo (SE)
Poções (BA)
Prado (BA)
Prudentópolis (PR)
Queimadas (PB)
Quijingue (BA)
Quixeramobim (CE)
Remanso (BA)
Rio Grande da Serra (SP)
Rio Real (BA)
Rondon do Pará (PA)
Rosário do Sul (RS)
Salinópolis (PA)
Santa Cruz Cabrália (BA)
Santa Cruz do Capibaribe (PE)
Santa Luzia (MA)
Santa Maria da Boa Vista (PE)
Santa Maria de Jetibá (ES)
Santa Quitéria (CE)
Santa Vitória do Palmar (RS)
Santaluz (BA)
Santo Amaro (BA)
Santo Antônio da Patrulha (RS)
Santo Estêvão (BA)
Santos Dumont (MG)
Sapé (PB)
Serra do Ramalho (BA)
Sertânia (PE)
Sirinhaém (PE)
São Bento do Una (PE)
São Caitano (PE)
São Francisco de Itabapoana (RJ)
São Francisco do Conde (BA)
São Gonçalo (RJ)
São Gonçalo do Amarante (CE)
São Gonçalo dos Campos (BA)
São José de Mipibu (RN)
São José do Belmonte (PE)
São José do Egito (PE)
São João da Barra (RJ)
São Lourenço do Sul (RS)
São Mateus do Sul (PR)
São Pedro da Aldeia (RJ)
São Sebastião do Passé (BA)
Tabira (PE)
Tailândia (PA)
Timbaúba (PE)
Tomé-Açu (PA)
Toritama (PE)
Trairi (CE)
Tucano (BA)
União (PI)
Uruará (PA)
Vera Cruz (BA)
Vigia (PA)
Visconde do Rio Branco (MG)
Viseu (PA)
Viçosa do Ceará (CE)
Várzea Alegre (CE)
Águas Belas (PE)
Óbidos (PA)"
,,,,,
Total de municípios no universo: 825. Total de domicílios no universo: 43667223.,,,,,
