Resumo de domicílios por cluster - SC classe A sem capital de UF e conurbados,,,,
Total de domicílios no universo: 2186072 | Total de domicílios no Brasil: 111102875,,,,
,,,,
Cluster,Quantidade de municípios,Domicílios (n),% de domicílios no universo,% de domicílios no Brasil
1,2,155596,7.117606373440583,0.1400467809676392
2,31,1541915,70.53358718285583,1.387826372629871
3,3,96458,4.412388978954032,0.08681863543135135
4,3,190988,8.736583241540078,0.1719019422314679
5,2,201115,9.199834223209482,0.1810169178790378
